Team,EFG,Games Won,,,,
Utah Jazz,56.3,52,,,,
Phoenix Suns,56.4,51,,,,
Philadelphia 76ers,54.1,49,,,,
Brooklyn Nets,57.5,48,,,,
Denver Nuggets,55.7,47,,,,
LA Clippers,56.4,47,,,,
Milwaukee Bucks,56.6,46,,,,
Dallas Mavericks,55.0,42,,,,
Los Angeles Lakers,53.6,42,,,,
Portland Trail Blazers,54.0,42,,,,
Atlanta Hawks,53.9,41,,,,
New York Knicks,52.4,41,,,,
Miami Heat,54.6,40,,,,
Golden State Warriors,55.1,39,,,,
Memphis Grizzlies,52.8,38,,,,
Boston Celtics,54.3,36,,,,
Indiana Pacers,54.2,34,,,,
Washignton Wizards,53.1,34,,,,
Charlotte Hornets,53.2,33,,,,
San Antonio Spurs,51.7,33,,,,
Chicago Bulls,54.7,31,,,,
New Orleans Pelicans,53.7,31,,,,
Sacramento Kings,54.9,31,,,,
Toronto Raptors,52.9,27,,,,
Minnesota Timberwolves,52.0,23,,,,
Cleveland Cavaliers,50.8,22,,,,
Oklahoma City Thunder,50.9,22,,,,
Orlando Magic,49.0,21,,,,
Detroit Pistons,51.9,20,,,,
Houston Rockets,52.1,17,,,,
